,hedge_ratio,sid_1,sid_2,sid_3
0,[ 12.77306775  -7.67378009 -13.42090259],DOT-USDT,LINK-USDT,BCH-USDT
1,[ 14.47052577  -8.85289093 -14.96575442],DOT-USDT,LINK-USDT,LTC-USDT
