,hedge_ratio,sid_1,sid_2,sid_3
365,[ 21.05283234 -18.02581194  -9.18138101],LTC-USDT,ALGO-USDT,XLM-USDT
366,[13.22765288 -6.88680435 -0.79987784],LTC-USDT,AVAX-USDT,ICP-USDT
367,[ 3.93849864  0.46452671 -2.6653993 ],LTC-USDT,AVAX-USDT,MATIC-USDT
368,[  4.59679045  10.14060104 -14.26905066],LTC-USDT,AVAX-USDT,XLM-USDT
369,[  9.45592424   4.93307748 -17.74425147],LTC-USDT,ICP-USDT,XLM-USDT
370,[ 23.0004955   -1.63288597 -21.6920422 ],LTC-USDT,ICP-USDT,TRX-USDT
371,[ 3.40720155 -2.94196608  1.09079433],LTC-USDT,MATIC-USDT,XLM-USDT
372,[ 8.33781246 -1.47140275 -4.45542894],LTC-USDT,MATIC-USDT,VET-USDT
373,[ 13.7137349   -2.7673231  -11.93002945],LTC-USDT,MATIC-USDT,TRX-USDT
374,[13.18194673 -5.10100554  0.64456874],ALGO-USDT,AVAX-USDT,ICP-USDT
375,[ 4.09380926 -5.07755669  2.9893165 ],ALGO-USDT,AVAX-USDT,MATIC-USDT
376,[  9.30794478 -13.87107745  11.57910238],ALGO-USDT,AVAX-USDT,XLM-USDT
377,[ 3.03925145  1.25685847 -2.74516926],ALGO-USDT,ICP-USDT,MATIC-USDT
378,[15.54379373  0.04301693 -7.21654473],ALGO-USDT,ICP-USDT,FIL-USDT
379,[  4.86131493   6.15179853 -15.1341902 ],ALGO-USDT,ICP-USDT,XLM-USDT
380,[16.56189807  0.06175389 -9.30598385],ALGO-USDT,ICP-USDT,TRX-USDT
381,[ 6.89283664  3.69437407 -8.26434681],ALGO-USDT,MATIC-USDT,FIL-USDT
382,[ 3.34677468  4.04756051 -5.7795126 ],ALGO-USDT,MATIC-USDT,XLM-USDT
383,[ 1.48713004  4.16722586 -5.66482719],ALGO-USDT,MATIC-USDT,VET-USDT
384,[  7.77629242   2.65663889 -10.42292851],ALGO-USDT,MATIC-USDT,TRX-USDT
385,[ 11.52111298 -15.63915532   8.6522054 ],ALGO-USDT,FIL-USDT,VET-USDT
386,[  4.44425663   5.2035861  -16.45290487],AVAX-USDT,ICP-USDT,XLM-USDT
387,[ 1.64006125 -3.88620494  9.92099374],AVAX-USDT,ICP-USDT,ETC-USDT
388,[  1.01569136   1.88980409 -10.57071327],AVAX-USDT,ICP-USDT,TRX-USDT
389,[  7.70118027   4.21931444 -12.68897808],AVAX-USDT,MATIC-USDT,XLM-USDT
390,[ 1.1356491  -3.81838699  3.35986021],AVAX-USDT,MATIC-USDT,VET-USDT
391,[ 2.04793199 -3.06420968  2.36858623],AVAX-USDT,MATIC-USDT,ETC-USDT
392,[  9.84878732 -15.36661328   6.64329179],AVAX-USDT,XLM-USDT,ETC-USDT
393,[ 13.70625268 -14.23634873  -1.11923806],AVAX-USDT,XLM-USDT,TRX-USDT
394,[ 0.700914   -3.04049336  3.18067044],ICP-USDT,MATIC-USDT,FIL-USDT
395,[ 1.14313605  2.56098851 -6.53981527],ICP-USDT,MATIC-USDT,XLM-USDT
396,[ 0.52371235 -3.43886481  3.63015911],ICP-USDT,MATIC-USDT,VET-USDT
397,[ 0.03883868  2.68904798 -5.37471649],ICP-USDT,MATIC-USDT,ETC-USDT
398,[  5.8089457   -0.45714039 -12.36623155],ICP-USDT,FIL-USDT,XLM-USDT
399,[  1.5120768   11.70020189 -15.155742  ],ICP-USDT,FIL-USDT,VET-USDT
400,[  5.66052889 -11.84422632  -0.85839632],ICP-USDT,XLM-USDT,VET-USDT
401,[ 5.36818277 -7.75534636 -6.11518194],ICP-USDT,XLM-USDT,ETC-USDT
402,[  5.77433592 -15.75720112   5.47670318],ICP-USDT,XLM-USDT,TRX-USDT
403,[  5.35310619 -12.07889537  -0.37649087],ICP-USDT,XLM-USDT,THETA-USDT
404,[ 3.00577837  4.1390654  -6.48109511],FTT-USDT,MATIC-USDT,XLM-USDT
405,[ 3.35676858 -4.09868698 -0.67867971],MATIC-USDT,FIL-USDT,VET-USDT
406,[ 2.96820391 -1.43325354 -3.92875686],MATIC-USDT,FIL-USDT,TRX-USDT
407,[ 3.31189564 -1.95910646 -3.03236843],MATIC-USDT,XLM-USDT,ETC-USDT
408,[ 3.77866195 -5.34856691  1.46106148],MATIC-USDT,XLM-USDT,TRX-USDT
409,[ 3.34787534 -2.37583936 -2.86878949],MATIC-USDT,VET-USDT,TRX-USDT
