,i,pairs,half_life,hedge_ratio,sid_1,sid_2
7,7,['LTC' 'SOL'],55,[ 34.84950604 -85.62495287],LTC,SOL
9,9,['ETC' 'ATOM'],56,[138.47074743 -98.07376295],ETC,ATOM
10,10,['ADA' 'DOT'],57,[153.41810292 -92.6621386 ],ADA,DOT
3,3,['XRP' 'ETC'],64,[118.97069893 -91.07261646],XRP,ETC
16,16,['MATIC' 'XMR'],67,[  54.94636737 -105.96103363],MATIC,XMR
5,5,['XRP' 'SOL'],73,[26.0399115 46.1573526],XRP,SOL
13,13,['BNB' 'SOL'],75,[18.50522258 52.84583499],BNB,SOL
1,1,['BTC' 'MATIC'],76,[188.09235183 -74.89135289],BTC,MATIC
0,0,['BTC' 'SOL'],79,[ 13.74050458 -62.83444892],BTC,SOL
14,14,['SOL' 'MATIC'],82,[59.08676086 -3.34038546],SOL,MATIC
2,2,['ETH' 'SOL'],84,[  1.85997195 -57.10297709],ETH,SOL
11,11,['ADA' 'SOL'],85,[ 1.55374306 54.87321467],ADA,SOL
15,15,['SOL' 'XMR'],86,[55.07029849  0.97082484],SOL,XMR
4,4,['XRP' 'BNB'],93,[ 78.51094858 -62.40401521],XRP,BNB
8,8,['ETC' 'BNB'],123,[ 64.69883439 -81.58572814],ETC,BNB
6,6,['XRP' 'MATIC'],127,[58.79920845  0.31500967],XRP,MATIC
12,12,['BNB' 'ATOM'],164,[ 68.63178    -36.35860594],BNB,ATOM
