,hedge_ratio,sid_1,sid_2
0,[57.94552822 -6.53355065],BTC,LINK
1,[139.79815515 -64.32324309],BTC,MATIC
2,[ 17.95026803 -18.16241241],ETH,LTC
3,[ 42.01010085 -21.77174783],ETH,LINK
4,[ 6.76465729 22.39068142],ETH,ALGO
5,[ 38.32213872 -17.13861914],XRP,LTC
6,[ 55.9258681  -54.81934784],XRP,ETC
7,[ 17.89692383 -57.81623946],XRP,XLM
8,[  8.82933699 -62.13025177],XRP,ADA
9,[ 51.85669188 -41.01383776],XRP,ATOM
10,[ 8.72872533 21.27953634],XRP,ALGO
11,[ 51.14392962 -29.45538373],XRP,SOL
12,[ 16.91027521 -39.10015705],LTC,ETC
13,[  9.34963056 -59.90440855],LTC,ADA
14,[  6.50464658 -14.99614593],LTC,ALGO
15,[ 12.66226874 -37.26386751],LTC,DOT
16,[ 20.29292197 -30.75110491],LTC,SOL
17,[ 32.5024015  -70.89692937],ETC,XLM
18,[ 13.06762347 -67.48792335],ETC,ADA
19,[  5.23076284 -22.43535294],ETC,ALGO
20,[ 58.88964541 -35.01846187],ETC,SOL
21,[  5.44242016 -62.51509235],LINK,ADA
22,[ 24.25872376 -52.88489799],LINK,ATOM
23,[  7.35028197 -15.47274295],LINK,ALGO
24,[  4.66489944 -45.17171758],LINK,DOT
25,[  4.67639716 -28.07259485],LINK,AVAX
26,[ 8.07404875 50.24028478],XLM,ADA
27,[ 57.69079969 -17.13280743],XLM,BNB
28,[ 38.72165602 -28.75867102],XLM,ALGO
29,[52.8638241  -9.60454491],XLM,SOL
30,[60.46749085 -8.98121842],ADA,BNB
31,[ 78.19069887 -21.69143297],ADA,ATOM
32,[35.8721971  12.03730489],ADA,ALGO
33,[130.45161499 -78.22910824],ADA,DOT
34,[64.89933012 -9.18999098],ADA,SOL
35,[  6.07732459 -20.41397251],BNB,ALGO
36,[  5.91391067 -22.28475036],ATOM,ALGO
37,[19.60506904 10.66334103],ALGO,DOT
38,[22.17909231  0.50979578],ALGO,SOL
39,[22.49822022  8.97734294],ALGO,MATIC
40,[24.58454185 11.03484829],ALGO,XMR
41,[ 59.53816565 -20.35945572],DOT,MATIC
42,[ 51.07557687 -45.60898824],AVAX,MATIC
