i,pairs,half_life,hedge_ratio,sid_1,sid_2,tradingview_symbol
94,['AAVE' 'DYDX'],24,[ 5.38437657 -3.44292935],AAVE,DYDX,AAVEUSDT.P * 5.384376567550582 - DYDXUSDT.P * -3.442929354345541
76,['XLM' 'AAVE'],28,[ 6.00270474 -5.11510999],XLM,AAVE,XLMUSDT.P * 6.002704736726562 - AAVEUSDT.P * -5.115109987224246
62,['FIL' 'ETC'],33,[ 2.15018615 -5.54186199],FIL,ETC,FILUSDT.P * 2.1501861508658293 - ETCUSDT.P * -5.541861988139702
68,['ETC' 'THETA'],34,[ 5.70549745 -2.71015198],ETC,THETA,ETCUSDT.P * 5.705497454628134 - THETAUSDT.P * -2.7101519775918352
22,['DOT' 'FIL'],34,[ 4.98309222 -3.65464154],DOT,FIL,DOTUSDT.P * 4.98309222320755 - FILUSDT.P * -3.6546415443904956
66,['FIL' 'DYDX'],34,[ 2.9838588  -3.30898584],FIL,DYDX,FILUSDT.P * 2.9838588018923606 - DYDXUSDT.P * -3.308985839879172
23,['DOT' 'THETA'],37,[ 5.09529145 -4.82808618],DOT,THETA,DOTUSDT.P * 5.095291454199933 - THETAUSDT.P * -4.828086182049907
24,['DOT' 'AAVE'],38,[ 3.40643054 -4.75651134],DOT,AAVE,DOTUSDT.P * 3.4064305420953924 - AAVEUSDT.P * -4.756511337506835
89,['GALA' 'AAVE'],43,[ 1.13934705 -3.24199755],GALA,AAVE,GALAUSDT.P * 1.1393470484181634 - AAVEUSDT.P * -3.2419975495234508
82,['THETA' 'FTM'],61,[ 2.08010188 -1.56723384],THETA,FTM,THETAUSDT.P * 2.0801018799098707 - FTMUSDT.P * -1.5672338437712623
64,['FIL' 'GALA'],61,[ 1.95354589 -1.10375724],FIL,GALA,FILUSDT.P * 1.9535458945140844 - GALAUSDT.P * -1.1037572389692674
59,['NEAR' 'THETA'],62,[ 1.55969192 -2.10528006],NEAR,THETA,NEARUSDT.P * 1.5596919172720025 - THETAUSDT.P * -2.1052800572397548
34,['AVAX' 'AAVE'],62,[ 1.32959127 -2.51142902],AVAX,AAVE,AVAXUSDT.P * 1.3295912709968538 - AAVEUSDT.P * -2.511429015339524
33,['AVAX' 'THETA'],62,[ 1.6865659  -2.01407498],AVAX,THETA,AVAXUSDT.P * 1.68656589547274 - THETAUSDT.P * -2.0140749760865018
85,['FTM' 'AAVE'],63,[ 1.17069857 -2.55094517],FTM,AAVE,FTMUSDT.P * 1.170698571502151 - AAVEUSDT.P * -2.5509451651759685
44,['UNI' 'FTM'],64,[ 2.58422617 -1.16068234],UNI,FTM,UNIUSDT.P * 2.5842261698793294 - FTMUSDT.P * -1.160682343424648
28,['AVAX' 'UNI'],68,[ 1.24287957 -2.45624172],AVAX,UNI,AVAXUSDT.P * 1.2428795654598277 - UNIUSDT.P * -2.456241718823568
27,['AVAX' 'LINK'],73,[ 1.73335861 -2.89285903],AVAX,LINK,AVAXUSDT.P * 1.7333586120056599 - LINKUSDT.P * -2.892859029061732
63,['FIL' 'FTM'],78,[ 1.51966869 -1.35629598],FIL,FTM,FILUSDT.P * 1.5196686922767575 - FTMUSDT.P * -1.356295978718481
9,['ADA' 'AVAX'],81,[ 2.43747705 -1.82420589],ADA,AVAX,ADAUSDT.P * 2.4374770499585856 - AVAXUSDT.P * -1.8242058871059461
30,['AVAX' 'FIL'],83,[ 1.42721891 -1.43313551],AVAX,FIL,AVAXUSDT.P * 1.4272189128035264 - FILUSDT.P * -1.433135509825512
55,['NEAR' 'FIL'],85,[ 1.36921083 -1.47480481],NEAR,FIL,NEARUSDT.P * 1.3692108253798074 - FILUSDT.P * -1.4748048081176208
