,hedge_ratio,sid_1,sid_2,sid_3
0,[ 1.68466194e-03  9.58447874e-02 -1.31904159e+02],ETH-USDT,BCH-USDT,XLM-USDT
1,[ 1.03191764e-02 -3.66004931e-01  9.33946706e+01],ETH-USDT,LTC-USDT,XLM-USDT
2,[ 7.64706200e-02  1.15073989e-01 -1.37591278e+02],BCH-USDT,LTC-USDT,XLM-USDT
